Fields,psych area,key topic,Target population (y/n),number,Title,Authors,Journal,Alert Month,Pulication date,Link,Abstract,
,,,,642,Fear and Implicit Racism: Whites' Support for Voter ID laws,"Antoine J. Banks, Heather M. Hicks",Political Psychology,,September 2015,http://onlinelibrary.wiley.com/doi/10.1111/pops.12292/full,"Oftentimes, Whites are unaware that they may have slighted Blacks. Although researchers have spent a considerable amount of attention disentangling this form of implicit (unconscious) racial bias from explicit (conscious) racial bias, we are less clear about the conditions that cause implicit racism to matter in American politics. In this article, we offer a theory of how fear and Whites' unconscious racial bias are tightly linked in memory, and triggering this emotion can make these implicit attitudes more salient in public opinion. To test our theory, we focus on Whites’ opinions toward voter ID laws. Our expectation is that inducing fear should cause implicit racism to play an important role in Whites’ evaluation of the policy. Using an adult national experiment over two waves, we induced several emotions to elicit fear, anger, or relaxation. The findings show that the fear condition causes Whites high in implicit racism to be more supportive of voter ID laws than similar individuals in the anger and control conditions. On the other hand, fear does not cause Whites high in explicit racism to be more supportive of voter ID laws.",
,,,,643,You Are What You Tweet: Connecting the Geographic Variation in America's Obesity Rate to Twitter Content,"Ross Joseph Gore, Saikou Diallo, Jose Padilla",Plos,,September 2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133505,"We conduct a detailed investigation of the relationship among the obesity rate of urban areas and expressions of happiness, diet and physical activity on social media. We do so by analyzing a massive, geo-tagged data set comprising over 200 million words generated over the course of 2012 and 2013 on the social network service Twitter. Among many results, we show that areas with lower obesity rates: (1) have happier tweets and frequently discuss (2) food, particularly fruits and vegetables, and (3) physical activities of any intensity. Additionally, we provide evidence that each of these results offer different and unique insight into the variation of the obesity rate in urban areas within the United States. Our work shows how the contents of social media may potentially be used to estimate real-time, population-scale measures of factors related to obesity.",
,,,,644,Biological or Psychological? Effects of Eating Disorder Psychoeducation on Self-Blame and Recovery Expectations among Symptomatic Individuals,"Nicholas R. Farrella, Aaron A. Leeb, Brett J. Deacon",Behaviour Research and Therapy,,November 2015,http://www.sciencedirect.com/science/article/pii/S0005796715300346,"Recent years have witnessed increasing popularity and promotion of biological influences (e.g., genetics) in eating disorder (ED) development. Although research suggests biological models of EDs reduce blame-oriented stigma in the general public, their effect on symptomatic individuals' attitudes toward themselves, treatment, and their prognosis has not been studied. Additionally, little is known about how other credible forms of conceptualizing ED development (e.g., cognitive-behavioral) affect individuals with disordered eating. Accordingly, the present study assessed the effects of three different forms of psychoeducation about ED development (biology-only, malleability of biology, cognitive-behavioral) among a sample high in ED symptoms. Participants (N = 216) viewed an audiovisual presentation describing ED development from one of the three perspectives before completing measures of self-blame for symptoms, prognostic expectations, self-efficacy in recovering, and attitudes toward a description of cognitive-behavioral therapy. There were no significant differences between conditions in self-blame. Relative to biology-only, the psychoeducational messages emphasizing malleable biology and cognitive-behavioral factors produced more prognostic optimism and self-efficacy in recovering. Perceived credibility of cognitive-behavioral therapy and expectations for its efficacy were highest in the cognitive-behavioral psychoeducation condition. Implications for efforts to educate the public and treatment-seeking individuals about the nature of EDs are discussed.",42618
,,,,645,Within-subject consistency and between-subject variability in Bayesian reasoning strategies,"Andrew L. Cohen, Adrian Staub",Cognitive Psychology,,September 2015,http://www.sciencedirect.com/science/article/pii/S0010028515000584,"It is well known that people tend to perform poorly when asked to determine a posterior probability on the basis of a base rate, true positive rate, and false positive rate. The present experiments assessed the extent to which individual participants nevertheless adopt consistent strategies in these Bayesian reasoning problems, and investigated the nature of these strategies. In two experiments, one laboratory-based and one internet-based, each participant completed 36 problems with factorially manipulated probabilities. Many participants applied consistent strategies involving use of only one of the three probabilities provided in the problem, or additive combination of two of the probabilities. There was, however, substantial variability across participants in which probabilities were taken into account. In the laboratory experiment, participants’ eye movements were tracked as they read the problems. There was evidence of a relationship between information use and attention to a source of information. Participants’ self-assessments of their performance, however, revealed little confidence that the strategies they applied were actually correct. These results suggest that the hypothesis of base rate neglect actually underestimates people’s difficulty with Bayesian reasoning, but also suggest that participants are aware of their ignorance.",
,,,,646,Grabbing Your Bootstraps: Threats to Economic Order Boost Beliefs in Personal Control,"Chris Goode, Lucas A. Keefer",Current Psychology,,August 2015,https://link.springer.com/article/10.1007/s12144-015-9376-0,"Individuals are motivated to maintain perceptions of order and predictability in the social environment. Compensatory control theory proposes that when an individual’s perception of her or his own control is threatened, the individual can turn to external systems that may provide a perception of control (e.g., organized government). Conversely, the theory also predicts that when external systems of control are threatened, individuals may respond by exaggerating perceptions of personal control, although this effect has received relatively little empirical support. In the present study, we examined how a threat to an external system of economic control affects individual perceptions of personal control. Specifically, we found that a threat to the perceived distribution of economic resources based on hard work and effort (i.e., meritocracy) led to greater perceptions of personal control. Moreover, this increase in personal control directly increased participants’ optimism about their future economic outcomes. This study provides important insight into the broad influence of external systems on individuals' perceptions of personal control and assessment of future action.",
,,,,647,Retrieval-induced Forgetting is Associated with Increased Positivity When Imagining the Future,"Saskia Giebl, Benjamin C. Storm, Dorothy R. Buchli, Elizabeth Ligon Bjork & Robert A. Bjork",The Quarterly Journal of Experimental Psychology,,February 2016,http://www.tandfonline.com/doi/abs/10.1080/17470218.2015.1085586,"People often think of themselves and their experiences in a more positive light than is objectively justified. Inhibitory control processes may promote this positivity bias by modulating the accessibility of negative thoughts and episodes from the past, which then limits their influence in the construction of imagined future events. We tested this hypothesis by investigating the correlation between retrieval-induced forgetting and the extent to which individuals imagine positive and negative episodic future events. First, we measured performance on a task requiring participants to imagine personal episodic events (either positive or negative), and then we correlated that measure with retrieval-induced forgetting. As predicted, individuals who exhibited higher levels of retrieval-induced forgetting imagined fewer negative episodic future events than did individuals who exhibited lower levels of retrieval-induced forgetting. This finding provides new insight into the possible role of retrieval-induced forgetting in autobiographical memory.",
,,,,648,Leisure Activities in Unemployed Emerging Adults: Links to Career Adaptability and Subjective Well‐Being,"Selda Celen-Demirtas, Varda Konstam, Sara Tomek",The Career Development Quarterly,,September 2015,http://onlinelibrary.wiley.com/doi/10.1002/cdq.12014/full,"The present study examined if frequency and quality of 3 types of leisure activities (i.e., relaxation, achievement, and social) can function as protective factors for subjective well-being (SWB) and career adaptability (CA) among 184 unemployed emerging adults (84 women, 100 men). Participants responded to measures of leisure frequency and quality, SWB, and CA. The results of a multivariate analysis of variance indicated that the frequency of relaxation, achievement, and social leisure activities had no effect on SWB and CA. However, regression analyses indicated that the quality of social leisure activities significantly predicted SWB and the quality of achievement and social leisure activities significantly predicted CA. The quality of relaxation leisure activities was not associated with SWB and CA. Findings indicate that counselors who work with unemployed emerging adults can use leisure activities to promote SWB and CA. Future research to better understand the role of leisure in well-being and career development among emerging adults is encouraged.",
,,,,649,Wearable technology in service delivery processes: The gender-moderated technology objectification effect,"Laurie Wu, Alei (Aileen) Fan, Anna S. Mattila",International Journal of Hospitality Management,,October 2015,http://www.sciencedirect.com/science/article/pii/S0278431915001280,"In the current research, we investigate how employees’ adoption of wearable technology (i.e., a front-line employee using Google Glass for a hotel check-in) influences consumers’ service encounter evaluations and revisit intentions. Building on the theoretical frameworks of technology objectification effect, person sensitivity bias and gender stereotypes, we find that wearable technology has a differential impact on service evaluations based on the employee's gender. Study 1 demonstrates that for female employees, the adoption of wearable technology leads to more favorable customer evaluations in service failure encounters. Study 2 shows that for male employees, the adoption of wearable technology leads to less favorable customer evaluations in service success encounters. We discuss theoretical and managerial implications of these findings.",
,,,,650,Exploring the Facebook Like: a product and service perspective,"Mark J. Pelletier , Alisha Blakeney Horky",Journal of Research in Interactive Marketing,,July 1905,http://www.emeraldinsight.com/doi/abs/10.1108/JRIM-09-2014-0059,"Purpose: The purpose of this exploratory study is to expand the knowledge of the current literature stream and to attempt to more fully understand the simple but singularly unique aspect of social networking communication that is the Facebook “Like”. To this end, motivations behind liking a brand are explored, as well as the interactions that occur between the company and consumer as a result of this Facebook interaction. Next, we look at differing levels of interaction for liked product and service brands on Facebook. Specifically exploring if there are differences with how Facebook users engage with liked product and service brands. Design/methodology/approach: The authors first engage in an exploratory, qualitative-based research to look at the motivations and consequences associated with liking product and service brands, using a sample of 160 Facebook users. Next, an ANOVA analysis is performed using an online sample of 264 respondents recruited from Amazon Mechanical Turk. Findings: The qualitative analysis reveals differing motivations for liking brands on Facebook and suggests that generating Facebook Likes can indeed have positive, if unacknowledged, outcomes for the firm. Further, while there is no significant difference in perceptions of brand knowledge between product- and service-based brands, there is a significant difference in perceptions of brand connectedness between brand types, with consumers reporting a greater sense of connection to the service brands and higher levels of brand attitude and purchase intention for product-based brands. It is also shown that consumers have a greater intention of reading and liking posts from product-based brands. Originality/value: This paper explores and attempts to move toward clarification of the gap that exists between “quality” versus “quantity” valuations of a Facebook Like.",
,,,,651,Longing for ex‐partners out of fear of being single,"Stephanie S. Spielmann, Geoff MacDonald, Samantha Joel",Journal of Personality,,September 2015,http://onlinelibrary.wiley.com/doi/10.1111/jopy.12222/abstract,"This research investigated whether people who fear being single have a more difficult time letting go of ex-partners following a romantic breakup. Data were collected in a cross-sectional study (N = 209, 64% women, Mage = 30 years old) as well as a 1-month daily experience study of individuals who just went through a romantic breakup (N = 117, 44% women, Mage = 27 years old). Findings from both studies revealed that those with stronger fear of being single (Spielmann et al., 2013) reported greater longing for their ex-partners. Pre- to post-breakup analyses revealed that fear of being single increased after a breakup, regardless of who initiated the breakup. Within-day analyses revealed that longing for an ex-partner and attempts to renew the relationship were greater on days with stronger fear of being single. Lagged-day analyses provided support for the conclusion that fear of being single increased longing and renewal attempts over time, but longing and renewal attempts did not influence fear of being single. These findings suggest that fear of being single is a particularly useful construct for understanding the romantic detachment process.",42616
Sociology/Social Media,,,,652,On wealth and the diversity of friendships: High social class people around the world have fewer international friends,"Maurice H. Yearwood, Amy Cuddy, Nishtha Lamba",Personality and Individual Differences,,December 2015,http://www.sciencedirect.com/science/article/pii/S0191886915004973,"Having international social ties carries many potential advantages, including access to novel ideas and greater commercial opportunities. Yet little is known about who forms more international friendships. Here, we propose social class plays a key role in determining people's internationalism. We conducted two studies to test whether social class is related positively to internationalism (the building social class hypothesis) or negatively to internationalism (the restricting social class hypothesis). In Study 1, we found that among individuals in the United States, social class was negatively related to percentage of friends on Facebook that are outside the United States. In Study 2, we extended these findings to the global level by analyzing country-level data on Facebook friends formed in 2011 (nearly 50 billion friendships) across 187 countries. We found that people from higher social class countries (as indexed by GDP per capita) had lower levels of internationalism—that is, they made more friendships domestically than abroad.",
MTurk Method,,,,653,The Importance of Assessing Clinical Phenomena in Mechanical Turk Research.,"Arditte KA, Çek D, Shaw AM",Psychological Assessment,,August 2015,https://www.ncbi.nlm.nih.gov/pubmed/26302105,"Amazon.com's Mechanical Turk (MTurk) website provides a data collection platform with quick and inexpensive access to diverse samples. Numerous reports have lauded MTurk as capturing high-quality data with an epidemiological sample that is more representative of the U.S. population than traditional in-person convenience samples (e.g., undergraduate subject pools). This benefit, in combination with the ease and low-cost of data collection, has led to a remarkable increase in studies using MTurk to investigate phenomena across a wide range of psychological disciplines. Multiple reports have now examined the demographic characteristics of MTurk samples. One key gap remains, however, in that relatively little is known about individual differences in clinical symptoms among MTurk participants. This paper discusses the importance of assessing clinical phenomena in MTurk samples and supports its assertions through an empirical investigation of a large sample (N = 1,098) of MTurk participants. Results revealed that MTurk participants endorse clinical symptoms to a substantially greater degree than traditional nonclinical samples. This distinction was most striking for depression and social anxiety symptoms, which were endorsed at levels comparable with individuals with clinically diagnosed mood and anxiety symptoms. Participants' symptoms of physiological anxiety, hoarding, and eating pathology fell within the subclinical range. Overall, the number of individuals exceeding validated clinical cutoffs was between 3 and 19 times the estimated 12-month prevalence rates. Based on the current findings, it is argued that MTurk participants differ from the general population in meaningful ways, and researchers should consider this when referring to this sample as truly representative.",42608
,,,,654,"Masculine discrepancy stress, substance use, assault and injury in a survey of US men","Dennis E Reidy, Danielle S Berke, Brittany Gentile, Amos Zeichner",Injury Prevention,,August 2015,http://injuryprevention.bmj.com/content/early/2015/07/29/injuryprev-2015-041599.full,"To understand and ultimately prevent injury and behavioural health outcomes associated with masculinity, we assessed the influence of masculine discrepancy stress (stress that occurs when men perceive themselves as falling short of the traditional gender norms) on the propensity to engage in stereotypically masculine behaviours (eg, substance use, risk taking and violence) as a means of demonstrating masculinity. Six-hundred men from the USA were recruited via Amazon's Mechanical Turk (MTurk) online data collection site to complete surveys assessing self-perceptions of gender role discrepancy and consequent discrepancy stress, substance use/abuse, driving while intoxicated (DWI) and violent assaults. Negative binomial regression analyses indicated significant interactive effects wherein men high on gender role discrepancy and attendant discrepancy stress reported significantly more assaults with a weapon (B=1.01; SE=0.63; IRR=2.74; p=0.05) and assaults causing injury (B=1.01; SE=0.51; IRR=2.74; p<0.05). There was no association of discrepancy stress to substance abuse, but there was a protective effect of gender role discrepancy for DWI among men low on discrepancy stress (B=−1.19, SE=0.48; IRR=0.30; p=0.01). These findings suggest that gender role discrepancy and associated discrepancy stress, in particular, represent important injury risk factors and that prevention of discrepancy stress may prevent acts of violence with the greatest consequences and costs to the victim, offender and society.",
MTurk Method,,,,656,Moral reminder as a way to improve worker performance on Amazon Mechanical Turk,"Hwang, H",X,,November 2015,http://hub.hku.hk/handle/10722/214961,"The present study explores a method to reduce abusive worker behavior on Amazon Mechanical Turk (AMT), namely reminding workers of moral standards. We manipulated workers’ awareness of moral standards via the presence or the absence of an honesty statement in a survey. The results showed that the honesty statement significantly improved workers’ performance during the first half of the survey. This suggests that a moral reminder is a simple and efficient way to reduce abusive worker behavior in a relatively short survey on AMT.",42608
,,,,657,Can I Count on Getting Better? Association between Math Anxiety and Poorer Understanding of Medical Risk Reductions,"Jonathan J. Rolison, Kinga Morsanyi, Patrick A. O’Connor",,,August 2015,http://journals.sagepub.com/doi/abs/10.1177/0272989X15602000,"Background. Lower numerical ability is associated with poorer understanding of health statistics, such as risk reductions of medical treatment. For many people, despite good numeracy skills, math provokes anxiety that impedes an ability to evaluate numerical information. Math-anxious individuals also report less confidence in their ability to perform math tasks. We hypothesized that, independent of objective numeracy, math anxiety would be associated with poorer responding and lower confidence when calculating risk reductions of medical treatments. Methods. Objective numeracy was assessed using an 11-item objective numeracy scale. A 13-item self-report scale was used to assess math anxiety. In experiment 1, participants were asked to interpret the baseline risk of disease and risk reductions associated with treatment options. Participants in experiment 2 were additionally provided a graphical display designed to facilitate the processing of math information and alleviate effects of math anxiety. Confidence ratings were provided on a 7-point scale. Results. Individuals of higher objective numeracy were more likely to respond correctly to baseline risks and risk reductions associated with treatment options and were more confident in their interpretations. Individuals who scored high in math anxiety were instead less likely to correctly interpret the baseline risks and risk reductions and were less confident in their risk calculations as well as in their assessments of the effectiveness of treatment options. Math anxiety predicted confidence levels but not correct responding when controlling for objective numeracy. The graphical display was most effective in increasing confidence among math-anxious individuals. Conclusions. The findings suggest that math anxiety is associated with poorer medical risk interpretation but is more strongly related to confidence in interpretations.",
,,,,658,Learning Problem‐Solving Rules as Search Through a Hypothesis Space,"Hee Seung Lee, Shawn Betts, John R. Anderson",Cognitive Science,,August 2015,http://onlinelibrary.wiley.com/doi/10.1111/cogs.12275/full,"Learning to solve a class of problems can be characterized as a search through a space of hypotheses about the rules for solving these problems. A series of four experiments studied how different learning conditions affected the search among hypotheses about the solution rule for a simple computational problem. Experiment 1 showed that a problem property such as computational difficulty of the rules biased the search process and so affected learning. Experiment 2 examined the impact of examples as instructional tools and found that their effectiveness was determined by whether they uniquely pointed to the correct rule. Experiment 3 compared verbal directions with examples and found that both could guide search. The final experiment tried to improve learning by using more explicit verbal directions or by adding scaffolding to the example. While both manipulations improved learning, learning still took the form of a search through a hypothesis space of possible rules. We describe a model that embodies two assumptions: (1) the instruction can bias the rules participants hypothesize rather than directly be encoded into a rule; (2) participants do not have memory for past wrong hypotheses and are likely to retry them. These assumptions are realized in a Markov model that fits all the data by estimating two sets of probabilities. First, the learning condition induced one set of Start probabilities of trying various rules. Second, should this first hypothesis prove wrong, the learning condition induced a second set of Choice probabilities of considering various rules. These findings broaden our understanding of effective instruction and provide implications for instructional design.",
,,,,659,"Threat, Coping, and Cost Protection Motivation in the Context of Consumer Complaining",San Bolkan,Communication Research,,August 2015,http://journals.sagepub.com/doi/abs/10.1177/0093650215600492,"Despite doing their best to keep customers satisfied, organizations can upset their patrons when expectations go unmet. When these organizational failures occur, consumers sometimes complain directly to companies. This type of behavior may be considered adaptive insofar as it helps individuals rectify their problems and allows organizations to fix issues for others as well. However, not all consumers complain to companies when they experience dissatisfaction; instead, many people choose to engage in less adaptive behaviors such as spreading negative word of mouth or withholding their patronage. This study was conducted to examine how variables related to protection motivation theory (i.e., threat, coping, and cost) relate to consumers’ choices regarding complaint behaviors. Four hundred fifty-four participants were solicited online to respond to hypothetical scenarios regarding organizational failures. The data indicated participants’ perceptions of threat and cost interacted to predict complaining behavior. Results are discussed as they pertain to organizational practices.",
,,,,660,Service Assurance Framework for Enterprise Task Crowdsourcing,"Chithralekha Balamurugan, Karan K. Budhraja",IEEE,,August 2015,http://ieeexplore.ieee.org/document/7207407/,"Crowd sourcing platforms enable enterprise requesters to leverage the online workforce to process voluminous enterprise tasks on a regular basis. Web services provided by these platforms facilitate requesters to post tasks, retrieve results and incentivize crowd workers. However, service assurance associated with task execution by crowd workers is not provided by these platforms. Owing to the flexible, uncommitted, discretionary working patterns of online crowd workers, service assurance for task execution is considered to be beyond the service assurance offerings of existing crowd sourcing platforms. Enterprises however, require these guarantees to be able to adopt crowd sourcing in a profound manner. In this paper, we propose a Service Assurance Framework as a crowd sourcing platform augmenting service, that provides service assurance for task execution by crowd workers. The framework helps enterprise requesters to identify and engage with workers who possess suitable service assurance attributes. To the best of our knowledge, this work is a first of its kind, in providing service assurance associated with task execution by crowd workers, with respect to enterprise tasks. We implemented the proposed framework and conducted a four-week long, large scale crowd sourcing experiment involving digitization of forms posted by an enterprise requester. Our results validate the efficacy of the proposed service assurance framework for enterprise crowd sourcing and advocate its adoption.",
,,,,661,Combined Expectancies of Alcohol and E-cigarette Use Relate to Higher Alcohol Use,"Alexandra R. Hershberger, Kenny A. Karyadi, J. Davis VanderVeen",Addictive Behaviors,,January 2016,http://www.sciencedirect.com/science/article/pii/S0306460315300058?np=y&npKey=0c6027929e97aead6a78e3df96f954c8a485257e840c0020d2470aa585a38b5a,"Electronic cigarettes (e-cigs) were created to approximate the look, feel, and experience of using a cigarette. Since cigarette and alcohol use co-occur, we hypothesized that e-cig and alcohol use also co-occur, likely due to shared positive drug expectations. Using self-report data from two independent samples of community-dwelling alcohol using adults, the present study: (1) modified the Nicotine and Other Substance Interaction Expectancy Questionnaire (NOSIE) to assess expectancies of combined e-cig and alcohol use (i.e. the individuals perceived likelihood of using e-cigs and alcohol together; NOSIE-ER); and (2) examined the relationships among e-cig use, expectancies, and alcohol use across e-cig use status. In the first sample (N = 692, mean age = 32.6, SD = 9.74, 50.7% female, 82.2% Caucasian), exploratory factor analysis suggested the presence of two factors: (1) alcohol use leads to e-cig use (Scale 1; α = 0.85); and (2) e-cig use leads to alcohol use (Scale 2; α = 0.91). In the second sample (N = 714, mean age = 34.1, SD = 10.89, 47.8% female, 75.6% Caucasian), confirmatory factor analysis supported this factor structure (χ2 = 47.00, p < 0.01, df = 19; RMSEA = 0.08, 90% CI = 0.05–0.11; TLI = 0.99; CFI = 0.99). Compared to non e-cig users, e-cig users had significantly higher problematic alcohol use in both samples (b's = 0.09 to 0.14, p's < .05). Expectancies of combined e-cig and alcohol use were significantly related to problematic alcohol use (b's = − 0.92 to 0.26, p's < .05). In sum, e-cig use is related to alcohol use and expectancies of combined e-cig and alcohol use; consequently, reshaping of beliefs about needs or desires to co-use could be a prime point of intervention.",
,,,,662,Everyday Attitudes About Euthanasia and the Slippery Slope Argument,Adam Feltz,"International Library of Ethics, Law, and the New Medicine",,August 2015,https://link.springer.com/chapter/10.1007%2F978-3-319-22050-5_13,"This chapter provides empirical evidence about everyday attitudes concerning euthanasia. These attitudes have important implications for some ethical arguments about euthanasia. Two experiments suggested that some different descriptions of euthanasia have modest effects on people’s moral permissibility judgments regarding euthanasia. Experiment 1 (N = 422) used two different types of materials (scenarios and scales) and found that describing euthanasia differently (‘euthanasia’, ‘aid in dying’, and ‘physician assisted suicide’) had modest effects (≈3 % of the total variance) on permissibility judgments. These effects were largely replicated in Experiment 2 (N = 409). However, in Experiment 2, judgments about euthanasia’s moral permissibility were best predicted by the voluntariness of the treatment. Voluntariness was a stronger predictor than some demographic factors and some domain general elements of moral judgments. These results help inform some debates about the moral permissibility of euthanasia (e.g., the slippery slope argument) suggesting that some of the key premises of those arguments are unwarranted.",
,,,,663,Fashionably late: Strategies for competing against a pioneer advantage,"Ali Besharat, Ryan J. Langan, Carlin A. Nguyen",Journal of Business Research,,February 2016,http://www.sciencedirect.com/science/article/pii/S0148296315003471,"This study delineates the conditions under which a late entrant is able to outperform a pioneer brand by examining the value relevance of alignable and non-alignable attributes. The first experiment shows that the late entrant can surpass the pioneer by adopting either a distinctive (new, non-alignable attribute) or enhancing (improved, alignable attribute) strategy depending on the value relevance of the new attributes. The second experiment provides evidence that pricing cues become instrumental when the value relevance of the late entrant with a distinctive strategy is low. In this context, the findings show that increasing the price of the product counter-intuitively enhances the preferences for the late entrant.",
MTurk Method,,,,664,"The impact of overtly listing eligibility requirements on MTurk: An investigation involving organ donation, recruitment scripts, and feelings of elevation","Jason T. Siegel, Mario A. Navarro, Andrew L. Thomson",Social Science & Medicine,,October 2015,http://www.sciencedirect.com/science/article/pii/S0277953615300721,"Rationale: Investigations conducted through Amazon's Mechanical Turk (MTurk) sometimes explicitly note eligibility requirements when recruiting participants; however, the impact of this practice on data integrity is relatively unexplored within the MTurk context. Objective: Contextualized in the organ donor registration domain, the current study assessed whether overtly listing eligibility requirements impairs the accuracy of data collected on MTurk. Methods: On day 1, the first and third round of data collection did not list eligibility requirements; the second and fourth round overtly listed a qualification requirement: status as a non-registered organ donor. On day 2, the approach was identical, except the order was reversed—the first and third round overtly listed the study qualifications, while the second and fourth did not. These procedures provided eight different waves of data. In addition, all participants were randomly assigned to read an elevating (i.e., morally inspiring) story or a story not intended to elicit any emotion. Regardless of recruitment approach, only participants who were not registered as donors were included in the analysis. Results: Results indicated that the recruitment script that explicitly requested non-registered donors resulted in the collection of participants with higher mean intentions scores than the script that did not overtly list the eligibility requirements. Further, even though the elevation induction increased intentions to register as a donor, there was not a significant interaction between recruitment approach and the influence of the elevation manipulation on registration intentions. Conclusion: Explicitly listing eligibility requirements can influence the accuracy of estimates derived from data collected through MTurk.",42605
,,,,665,Anxiety about internet hacking: Results from a community sample,"Jon D. Elhai, Brian J. Hall",Computers in Human Behavior,,January 2016,http://www.sciencedirect.com/science/article/pii/S0747563215300698,"Electronic data breaches and internet “hacking” are common threats to individuals' security, frequently reported in news media. Our aim was to determine the anxiety and stress associated with possible internet hacking. We utilized an online survey, sampling 304 adult participants. We assessed resting anxiety – that is, “worry, anxiety, or stress” reported at the beginning of the survey. We also assessed anxiety related to possible data breaches. Internet hacking (or “Data breach”) anxiety was rated with somewhat greater severity than resting anxiety. Higher resting anxiety was not related to data breach-related anxiety, indicating that data breach anxiety is specific. Demographic characteristics and secure online practices were not associated with internet hacking anxiety. Anxiety related to data breaches is important to study. However, behaviors intended to protect internet security are rare; education and intervention is needed to reduce anxiety and increase internet security.",
,,,,666,Negative mood regulation expectancies moderate the association between happiness emotion goals and depressive symptoms,"Thomas A. Fergus, Joseph R. Bardeen",Personality and Individual Differences,,October 2016,http://www.sciencedirect.com/science/article/pii/S0191886915005152,"Research suggests that happiness emotion goals (i.e., cognitive representations that happiness is the desired emotional endpoint) may confer risk for depression. Based upon prior speculations that emotion regulation could be important for understanding the association between happiness emotion goals and depression, in Study 1, we examined whether expressive suppression moderated the association between happiness emotion goals and depressive symptoms using a sample of community adults located in the United States (N = 465). Contrary to study predictions, expressive suppression did not moderate that association. In Study 2, we proposed and examined whether negative mood regulation (NMR) expectancies moderated the association between happiness emotion goals and depressive symptoms among an independent sample of community adults located in the United States (N = 439). Along with replicating Study 1 findings, we found support for the proposed moderating effect of NMR expectancies in Study 2. Happiness emotion goals were only associated with depressive symptoms when individuals held low NMR expectancies. Conceptual and therapeutic implications are discussed.",
,,,,667,Main and Interactive Effects of Mental Contamination and Tolerance of Negative Emotions in Relation to Posttraumatic Stress Symptoms Following Sexual Trauma,"Thomas A. Fergus, Joseph R. Bardeen",Journal of Psychopathology and Behavioral Assessment,,August 2015,https://link.springer.com/article/10.1007/s10862-015-9511-0,"Mental contamination, an internal sense of dirtiness that originates in the absence of physical contact with a stimulus, has been implicated in the exacerbation of posttraumatic stress (PTS) symptoms following sexual trauma. In addition, evidence suggests that associations between PTS-related risk factors and PTS symptoms may depend on the degree to which one can tolerate experiencing negative emotions. To better understand the association between mental contamination and PTS symptoms, we examined main and interactive effects of mental contamination and tolerance of negative emotions in relation to PTS symptoms, including specific symptom clusters, in a community sample of women who experienced sexual trauma (N = 101). Tolerance of negative emotions moderated the association between mental contamination and PTS symptoms (total symptom severity, intrusion cluster, and cognitive/mood alterations cluster). These results indicate that difficulties tolerating negative emotions may be a necessary condition for mental contamination to relate to PTS symptoms following sexual trauma.",
,,,,668,Regret Expression and Social Learning Increases Delay to Sexual Gratification,"Amanda J. Quisenberry, Celia R. Eddy, David L. Patterson",Plos,,August 2015,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0135978,"Objective: Modification and prevention of risky sexual behavior is important to individuals’ health and public health policy. This study employed a novel sexual discounting task to elucidate the effects of social learning and regret expression on delay to sexual gratification in a behavioral task. Methods: Amazon Mechanical Turk Workers were assigned to hear one of three scenarios about a friend who engages in similar sexual behavior. The scenarios included a positive health consequence, a negative health consequence or a negative health consequence with the expression of regret. After reading one scenario, participants were asked to select from 60 images, those with whom they would have casual sex. Of the selected images, participants chose one image each for the person they most and least want to have sex with and person most and least likely to have a sexually transmitted infection. They then answered questions about engaging in unprotected sex now or waiting some delay for condom-protected sex in each partner condition. Results: Results indicate that the negative health outcome scenario with regret expression resulted in delayed sexual gratification in the most attractive and least STI partner conditions, whereas in the least attractive and most STI partner conditions the negative health outcome with and without regret resulted in delayed sexual gratification. Conclusions: Results suggest that the sexual discounting task is a relevant laboratory measure and the framing of information to include regret expression may be relevant for prevention of risky sexual behavior.",
,,,,669,Concurrent diffusion of information and behaviors in online social networks--a case study of the Ice Bucket Challenge,"Shiyao Wang, Tianbo Yang, Qi Zhang",arXiv,,,https://arxiv.org/ftp/arxiv/papers/1508/1508.04417.pdf,"Using the spread of the Ice Bucket Challenge on Twitter as a case study, this research compared the concurrent diffusion patterns of both information and behaviors in online social networks. Individual behaviors in taking the Challenge were detected by applying text mining techniques to millions of tweets. After comparing diffusion dynamics of information and behaviors at the network level, the individual level, and the dyadic level, our analysis revealed interesting differences and interactions between the two diffusion processes and laid foundations for future predictive and prescriptive analytics for information and behavior diffusion in social networks.",
,,,,670,Unfazed by Both the Bull and Bear: Strategic Exploration in Dynamic Environments,Peter S. Riefer and Bradley C. Love,Games,,August 2015,http://www.mdpi.com/2073-4336/6/3/251/htm,"People in a changing environment must decide between exploiting options they currently favor and exploring alternative options that provide additional information about the state of the environment. For example, drivers must decide between purchasing gas at their currently favored station (i.e., exploit) or risk a fruitless trip to another station to evaluate whether the price has been lowered since the last visit. Previous laboratory studies on exploratory choice have found that people choose strategically and explore alternative options when it is more likely that the relative value of competing options has changed. Our study extends this work by considering how global trends (which affect all options equally) influence exploratory choice. For example, during an economic crisis, global gas prices may increase or decrease at all stations, yet consumers should still explore strategically to find the best option. Our research question is whether people can maintain effective exploration strategies in the presence of global trends that are irrelevant in that they do not affect the relative value of choice options. We find that people explore effectively irrespective of global trends.",
